,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RESPONSIBILITY,,,,,,,,,,,,,CAPABILITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,,,,,MULTICRITERIA
,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2,,,,Cumulative Gt CO2
CAN,,0.04,0.39,0.93,1.64,2.77,3.88,4.69,5.20,19.53,,,CAN,,0.04,0.37,0.87,1.51,2.49,3.42,4.04,4.39,17.13,,,CAN,,0.00,0.00,0.01,0.02,0.04,0.06,0.07,0.08,0.28,,,CAN,4.29
CAF,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,CAF,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,,,CAF,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,,,CAF,0.02
TCD,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,TCD,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.11,,,TCD,,0.00,0.00,0.00,0.01,0.03,0.05,0.07,0.10,0.26,,,TCD,0.22
CHL,,0.00,0.03,0.07,0.12,0.20,0.27,0.31,0.33,1.34,,,CHL,,0.01,0.05,0.12,0.20,0.34,0.46,0.54,0.59,2.31,,,CHL,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.05,,,CHL,0.49
CHN,,0.16,1.59,3.59,5.85,9.07,11.60,12.80,13.06,57.72,,,CHN,,0.14,1.41,3.30,5.70,9.43,12.92,15.27,16.59,64.77,,,CHN,,0.68,6.23,13.56,20.97,30.96,37.88,40.14,39.56,189.97,,,CHN,160.99
COL,,0.00,0.03,0.08,0.14,0.22,0.29,0.33,0.34,1.42,,,COL,,0.01,0.07,0.16,0.27,0.44,0.61,0.72,0.78,3.05,,,COL,,0.00,0.01,0.02,0.03,0.05,0.07,0.08,0.08,0.33,,,COL,0.83
COM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,COM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,COM,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,COM,0.00
COG,,0.00,0.03,0.10,0.21,0.41,0.65,0.88,1.06,3.33,,,COG,,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.03,0.13,,,COG,,0.00,0.04,0.14,0.37,0.88,1.68,2.65,3.66,9.41,,,COG,7.54
CRI,,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.10,,,CRI,,0.00,0.01,0.02,0.03,0.06,0.08,0.09,0.10,0.40,,,CRI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,CRI,0.07
CIV,,0.00,0.00,0.01,0.03,0.05,0.08,0.11,0.14,0.42,,,CIV,,0.00,0.01,0.01,0.02,0.04,0.05,0.06,0.07,0.26,,,CIV,,0.00,0.00,0.01,0.03,0.06,0.11,0.18,0.26,0.65,,,CIV,0.57
HRV,,0.00,0.01,0.01,0.02,0.04,0.04,0.05,0.05,0.22,,,HRV,,0.00,0.01,0.03,0.06,0.09,0.13,0.15,0.16,0.63,,,HRV,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,HRV,0.11
CUB,,0.00,0.02,0.04,0.06,0.09,0.11,0.13,0.13,0.57,,,CUB,,0.00,0.01,0.03,0.06,0.10,0.14,0.16,0.17,0.68,,,CUB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,CUB,0.16
CYP,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.12,,,CYP,,0.00,0.01,0.01,0.02,0.04,0.05,0.06,0.07,0.27,,,CYP,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,CYP,0.05
CZE,,0.01,0.10,0.23,0.38,0.60,0.79,0.89,0.95,3.95,,,CZE,,0.00,0.05,0.11,0.19,0.32,0.44,0.52,0.56,2.20,,,CZE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,CZE,0.64
COD,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,COD,,0.00,0.00,0.01,0.02,0.03,0.04,0.05,0.06,0.22,,,COD,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,COD,0.06
DNK,,0.00,0.03,0.07,0.13,0.21,0.29,0.35,0.38,1.46,,,DNK,,0.01,0.07,0.17,0.30,0.50,0.68,0.81,0.88,3.42,,,DNK,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,DNK,0.64
DJI,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,DJI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,DJI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,DJI,0.00
DMA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,DMA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,DMA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,DMA,0.00
DOM,,0.00,0.01,0.02,0.03,0.05,0.06,0.07,0.07,0.30,,,DOM,,0.00,0.01,0.03,0.05,0.08,0.11,0.13,0.14,0.56,,,DOM,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,DOM,0.13
ECU,,0.00,0.01,0.03,0.06,0.10,0.13,0.16,0.17,0.67,,,ECU,,0.00,0.02,0.04,0.07,0.11,0.15,0.17,0.19,0.74,,,ECU,,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.07,,,ECU,0.22
EGY,,0.01,0.08,0.20,0.38,0.67,0.98,1.22,1.37,4.91,,,EGY,,0.00,0.05,0.12,0.20,0.33,0.45,0.54,0.58,2.28,,,EGY,,0.00,0.04,0.11,0.24,0.46,0.73,0.98,1.18,3.76,,,EGY,3.62
SLV,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.08,,,SLV,,0.00,0.00,0.01,0.02,0.03,0.05,0.05,0.06,0.23,,,SLV,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,SLV,0.05
GNQ,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.10,,,GNQ,,0.00,0.00,0.01,0.02,0.03,0.03,0.04,0.04,0.17,,,GNQ,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,GNQ,0.03
ERI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,ERI,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,ERI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,,,ERI,0.02
EST,,0.00,0.02,0.04,0.07,0.11,0.14,0.15,0.16,0.70,,,EST,,0.00,0.00,0.01,0.02,0.03,0.04,0.05,0.05,0.21,,,EST,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,EST,0.08
ETH,,0.00,0.00,0.01,0.01,0.03,0.04,0.05,0.06,0.20,,,ETH,,0.00,0.01,0.01,0.03,0.04,0.06,0.07,0.07,0.28,,,ETH,,0.00,0.06,0.16,0.36,0.74,1.20,1.62,1.93,6.06,,,ETH,4.74
FJI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,FJI,,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,,,FJI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,FJI,0.01
FIN,,0.00,0.02,0.06,0.09,0.15,0.21,0.25,0.27,1.06,,,FIN,,0.01,0.06,0.13,0.23,0.38,0.52,0.62,0.67,2.63,,,FIN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,FIN,0.49
FRA,,0.03,0.34,0.79,1.35,2.22,3.04,3.61,3.95,15.34,,,FRA,,0.06,0.61,1.43,2.47,4.09,5.60,6.63,7.20,28.10,,,FRA,,0.00,0.01,0.03,0.05,0.09,0.13,0.15,0.17,0.64,,,FRA,5.94
GAB,,0.00,0.00,0.01,0.02,0.03,0.05,0.06,0.07,0.25,,,GAB,,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.15,,,GAB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,GAB,0.04
GMB,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,GMB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,GMB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,GMB,0.01
GEO,,0.00,0.01,0.02,0.03,0.04,0.05,0.06,0.06,0.25,,,GEO,,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.03,0.12,,,GEO,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,GEO,0.04
DEU,,0.07,0.67,1.52,2.50,3.96,5.23,6.01,6.37,26.33,,,DEU,,0.08,0.79,1.85,3.19,5.28,7.23,8.55,9.29,36.28,,,DEU,,0.00,0.02,0.04,0.07,0.11,0.14,0.16,0.17,0.72,,,DEU,8.07
GHA,,0.00,0.01,0.02,0.03,0.06,0.10,0.12,0.14,0.48,,,GHA,,0.00,0.01,0.02,0.03,0.05,0.07,0.08,0.09,0.34,,,GHA,,0.00,0.00,0.01,0.03,0.05,0.09,0.13,0.17,0.48,,,GHA,0.46
GRC,,0.00,0.03,0.06,0.10,0.15,0.19,0.21,0.22,0.98,,,GRC,,0.01,0.07,0.16,0.28,0.46,0.63,0.75,0.81,3.18,,,GRC,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,GRC,0.57
GRD,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,GRD,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,GRD,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,GRD,0.00
GTM,,0.00,0.01,0.01,0.03,0.05,0.07,0.08,0.09,0.33,,,GTM,,0.00,0.01,0.02,0.04,0.06,0.09,0.10,0.11,0.44,,,GTM,,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.03,0.11,,,GTM,0.18
GIN,,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.04,0.12,,,GIN,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.05,,,GIN,,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.06,0.16,,,GIN,0.14
GNB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,GNB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,GNB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,GNB,0.00
GUY,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,GUY,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,GUY,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,GUY,0.01
HTI,,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,,,HTI,,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.07,,,HTI,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,,HTI,0.03
