,RESPONSIBILITY,,,,,,,,,,,,,CAPACITY,,,,,,,,,,,,,EQUALITY,,,,,,,,,
DOM,0,2.18,21.81,50.88,87.95,145.37,199.16,235.5,255.85,1,,,DOM,0,3.68,35.7,81.56,137.62,224.08,304.49,360.14,395.62,1.54,,,DOM,0.00,2.17,21.60,49.91,84.41,135.57,179.56,203.86,211.29,0.89
ECU,0,2.62,26.21,61.15,105.71,174.73,239.37,283.06,307.52,1.2,,,ECU,0,3.09,29.02,64.7,105.36,165.99,218.79,251.39,268.69,1.11,,,ECU,0.00,3.39,34.79,82.39,144.36,239.62,327.13,382.26,407.17,1.62
EGY,0,2.69,26.9,62.77,108.51,179.36,245.72,290.56,315.67,1.23,,,EGY,0,1.6,14.67,31.8,49.49,74.91,95.1,104.95,107.63,0.48,,,EGY,0.00,20.13,212.40,517.91,949.36,1639.61,2323.98,2826.75,3137.53,11.63
SLV,0,1.16,11.63,27.14,46.9,77.53,106.21,125.6,136.45,0.53,,,SLV,0,2.54,25.56,59.82,104.12,173.87,242.32,295.59,337,1.24,,,SLV,0.00,1.27,12.16,27.43,44.98,70.45,90.99,100.20,100.10,0.45
GNQ,0,2.52,25.16,58.71,101.48,167.74,229.8,271.73,295.22,1.15,,,GNQ,0,8.92,72.42,146.52,209,293.85,350.06,366.48,360.57,1.81,,,GNQ,0.00,0.28,3.28,8.58,17.14,31.86,48.07,61.57,71.19,0.24
ERI,0,0.13,1.31,3.05,5.28,8.72,11.95,14.13,15.35,0.06,,,ERI,0,0.3,2.6,5.4,7.95,11.48,13.96,14.85,14.79,0.07,,,ERI,0.00,1.06,11.85,30.15,58.42,105.80,156.37,197.21,225.32,0.79
EST,0,63.2,631.97,1474.59,2548.93,4213.11,5771.97,6825.24,7415.08,28.94,,,EST,0,11.53,124.89,308,569.06,992.01,1426.01,1761.11,1977.24,7.17,,,EST,0.00,0.25,2.27,4.86,7.50,11.25,14.08,15.30,15.51,0.07
ETH,0,0.09,0.86,2,3.45,5.71,7.82,9.25,10.05,0.04,,,ETH,0,0.18,1.58,3.33,5.01,7.42,9.28,10.2,10.52,0.05,,,ETH,0.00,22.05,246.23,618.89,1170.62,2067.19,2971.04,3628.27,4006.32,14.73
FJI,0,1.76,17.63,41.14,71.11,117.53,161.01,190.4,206.85,0.81,,,FJI,0,2.61,26.21,61.36,106.95,178.7,247.98,298.29,331.41,1.25,,,FJI,0.00,0.18,1.74,3.92,6.42,10.05,13.04,14.55,14.91,0.06
FIN,0,16.74,167.43,390.68,675.31,1116.22,1529.22,1808.28,1964.55,7.67,,,FIN,0,34.17,348.98,824.71,1438.81,2362.23,3176.7,3669.02,3895.71,15.75,,,FIN,0.00,1.09,10.31,23.03,37.66,59.98,80.26,93.31,100.05,0.41
FRA,0,20.18,201.83,470.95,814.06,1345.56,1843.42,2179.81,2368.19,9.24,,,FRA,0,30.99,315.23,738.85,1278.96,2101.07,2834.42,3273.01,3461.51,14.03,,,FRA,0.00,12.85,121.87,274.48,452.50,720.31,960.86,1117.27,1202.72,4.86
GAB,0,5.79,57.9,135.11,233.54,386.02,528.85,625.36,679.4,2.65,,,GAB,0,5.14,45.5,96.62,146.06,215.11,266.79,288.76,291.44,1.36,,,GAB,0.00,0.42,4.58,11.42,21.55,38.24,55.46,68.77,77.54,0.28
GMB,0,0.34,3.35,7.82,13.53,22.36,30.63,36.22,39.35,0.15,,,GMB,0,0.32,2.63,5.33,7.61,10.76,12.93,13.65,13.58,0.07,,,GMB,0.00,0.45,5.27,13.79,27.52,50.81,76.04,96.54,110.40,0.38
GEO,0,7.75,77.49,180.8,312.53,516.58,707.72,836.86,909.19,3.55,,,GEO,0,2.3,24.94,61.56,114.34,200.75,289.74,358.64,405.26,1.46,,,GEO,0.00,0.76,6.78,14.52,22.29,33.20,41.39,44.88,45.20,0.21
DEU,0,32.75,327.48,764.11,1320.82,2183.18,2990.96,3536.75,3842.4,15,,,DEU,0,31.85,335,807.18,1452.38,2474.65,3451.48,4117.58,4496.74,17.17,,,DEU,0.00,16.14,148.10,324.64,514.79,790.01,1019.00,1146.73,1195.37,5.15
GHA,0,0.74,7.44,17.36,30,49.59,67.94,80.34,87.28,0.34,,,GHA,0,0.81,7.1,14.99,22.5,32.89,40.4,43.24,43.19,0.21,,,GHA,0.00,6.01,65.89,164.94,313.48,560.60,821.02,1029.45,1172.74,4.13
GRC,0,10.33,103.29,241.02,416.62,688.63,943.42,1115.58,1211.99,4.73,,,GRC,0,20.75,223.15,545.04,1002.17,1762,2564.57,3195.42,3606.25,12.92,,,GRC,0.00,2.17,19.49,42.15,65.41,97.33,120.32,129.57,130.65,0.61
GRD,0,1.53,15.26,35.61,61.55,101.73,139.37,164.81,179.05,0.7,,,GRD,0,5.43,55.61,132.55,237.09,409.07,593.52,756.26,894.42,3.08,,,GRD,0.00,0.02,0.20,0.45,0.71,1.08,1.34,1.41,1.36,0.01
GTM,0,1.05,10.45,24.39,42.15,69.67,95.45,112.87,122.62,0.48,,,GTM,0,1.78,15.99,34.6,54.09,82.32,105.33,118.01,123.73,0.54,,,GTM,0.00,3.50,37.55,91.69,167.28,287.35,404.04,484.04,525.50,2.00
GIN,0,0.32,3.19,7.45,12.87,21.27,29.14,34.46,37.44,0.15,,,GIN,0,0.26,2.22,4.53,6.45,9,10.6,10.93,10.56,0.05,,,GIN,0.00,2.69,31.00,80.72,161.57,302.46,461.59,600.72,707.20,2.35
